"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 09:51 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 09:51 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:02 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:05 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:06 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:06 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:06 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:06 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:07 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:07 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:07 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:07 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 25th Apr,2017 10:07 am"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36","","Tue 02nd May,2017 01:44 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36","","Tue 02nd May,2017 01:45 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36","","Tue 02nd May,2017 01:45 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36","","Tue 02nd May,2017 01:46 pm"
"","203.112.72.179","www.mist.edu.bd","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36","","Tue 02nd May,2017 01:46 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:49 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:49 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:49 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:50 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:50 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:51 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:51 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:52 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:52 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:53 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:53 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:54 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:54 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:55 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:55 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:56 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:56 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:57 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:57 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:58 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:58 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:59 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 01:59 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:00 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:00 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:01 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:01 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:02 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:02 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:03 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:03 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:04 pm"
"","114.134.88.138","114.134.88.138","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36","","Tue 02nd May,2017 02:04 pm"
